timestamp,script,call_type,estimated_cost_usd,cumulative_cost_usd
2026-07-22T18:29:39,03_generate_character,image,0.0390,0.0390
2026-07-22T18:34:28,03_generate_character,image,0.0390,0.0780
2026-07-22T18:34:44,03_generate_character,image,0.0390,0.1170
2026-07-22T18:35:00,03_generate_character,image,0.0390,0.1560
2026-07-22T18:35:14,03_generate_character,image,0.0390,0.1950
2026-07-22T18:35:29,03_generate_character,image,0.0390,0.2340
2026-07-22T18:36:30,04_generate_props,image,0.0390,0.2730
2026-07-22T21:01:15,04_generate_props,image,0.0390,0.3120
2026-07-22T21:14:25,02_script_gen,text,0.0100,0.3220
2026-07-22T21:21:00,02_script_gen,text,0.0100,0.3320
2026-07-22T21:22:36,04_generate_props,image,0.0390,0.3710
2026-07-22T21:22:51,04_generate_props,image,0.0390,0.4100
2026-07-22T21:24:22,04_generate_props,image,0.0390,0.4490
2026-07-22T21:24:36,04_generate_props,image,0.0390,0.4880
2026-07-22T21:52:37,01_research,text,0.0100,0.4980
2026-07-22T22:50:35,03_generate_character,image,0.0390,0.5370
2026-07-22T22:51:41,03_generate_character,image,0.0390,0.5760
2026-07-22T22:52:21,03_generate_character,image,0.0390,0.6150
2026-07-22T22:52:39,03_generate_character,image,0.0390,0.6540
2026-07-22T22:52:54,03_generate_character,image,0.0390,0.6930
2026-07-22T22:53:12,03_generate_character,image,0.0390,0.7320
2026-07-22T22:53:26,03_generate_character,image,0.0390,0.7710
2026-07-22T23:14:10,05_narration,tts,0.0300,0.8010
2026-07-22T23:23:40,05_narration,tts,0.0300,0.8310
2026-07-22T23:34:14,02_script_gen,text,0.0100,0.8410
2026-07-22T23:35:20,04_generate_props,image,0.0390,0.8800
2026-07-22T23:35:35,04_generate_props,image,0.0390,0.9190
2026-07-22T23:36:23,05_narration,tts,0.0300,0.9490
2026-07-22T23:40:22,05_narration,tts,0.0300,0.9790
2026-07-22T23:40:32,05_narration,tts,0.0300,1.0090
2026-07-22T23:40:39,05_narration,tts,0.0300,1.0390
2026-07-22T23:40:45,05_narration,tts,0.0300,1.0690
2026-07-22T23:40:55,05_narration,tts,0.0300,1.0990
2026-07-22T23:41:03,05_narration,tts,0.0300,1.1290
2026-07-22T23:41:13,05_narration,tts,0.0300,1.1590
2026-07-22T23:41:20,05_narration,tts,0.0300,1.1890
2026-07-22T23:41:27,05_narration,tts,0.0300,1.2190
2026-07-22T23:41:38,05_narration,tts,0.0300,1.2490
2026-07-22T23:41:47,05_narration,tts,0.0300,1.2790
2026-07-22T23:41:55,05_narration,tts,0.0300,1.3090
2026-07-22T23:42:01,05_narration,tts,0.0300,1.3390
2026-07-22T23:42:07,05_narration,tts,0.0300,1.3690
2026-07-22T23:42:13,05_narration,tts,0.0300,1.3990
2026-07-22T23:46:40,04_generate_props,image,0.0390,1.4380
2026-07-22T23:46:57,04_generate_props,image,0.0390,1.4770
2026-07-22T23:47:10,04_generate_props,image,0.0390,1.5160
2026-07-22T23:47:23,04_generate_props,image,0.0390,1.5550
2026-07-22T23:50:33,04_generate_props,image,0.0390,1.5940
2026-07-22T23:50:46,04_generate_props,image,0.0390,1.6330
2026-07-22T23:50:58,04_generate_props,image,0.0390,1.6720
2026-07-22T23:51:11,04_generate_props,image,0.0390,1.7110
2026-07-23T00:46:50,02_script_gen,text,0.0100,1.7210
2026-07-23T00:48:09,04_generate_props,image,0.0390,1.7600
2026-07-23T00:48:22,04_generate_props,image,0.0390,1.7990
2026-07-23T00:48:34,04_generate_props,image,0.0390,1.8380
